id,name,city,category,description,ideal_duration_hours,best_time_to_visit,lat,lon
212,Coin Museum,Nashik ,Historical & Cultural,Unique coin collection exhibitions,1,All Year,19.940097,73.731496
213,Saptashrungi Devi Temple,Nashik ,Religious & Spiritual,Important hill shrine near Vani,2,Oct-Mar,20.365601,74.216721
214,Kalsubai Peak,Nashik ,Nature & Scenic,Highest peak in Maharashtra hike,6,Oct-Mar,19.571111,73.636667
215,Naroshankar Temple,Nashik ,Religious & Spiritual,Historic riverside temple,1,All Year,19.99782,73.77999
216,Ramkund,Nashik ,Nature & Scenic,Ghat area sacred to Hindus,1,All Year,19.99783,73.78644
217,Pandav Leni Caves,Nashik ,Historical & Cultural,Ancient rock-cut caves with views,2,Oct-Feb,19.94976,73.7818
218,Sula Vineyards,Nashik ,Vineyard,Popular wine-tasting and tours,3,Nov-Feb,20.01005,73.75831
219,York Winery,Nashik ,Vineyard,Quiet vineyard with guided tours,2,Nov-Feb,20.01195,73.76255
220,Anjaneri Hills,Nashik ,Wildlife & Adventure,Birthplace of Lord Hanuman and trekking hotspot,3,Oct-Feb,19.96597,73.67459
221,Trimbakeshwar Temple,Nashik ,Religious & Spiritual,One of the 12 Jyotirlingas,1.5,All Year,19.93165,73.53019
222,Dudhsagar Falls (Nashik),Nashik ,Nature & Scenic,Seasonal monsoon waterfall,1,Jul-Sep,19.91462,73.77825
223,Hargad Fort,Nashik ,Historical & Cultural,Hill fort near Trimbakeshwar,3,Nov-Feb,19.9419,73.5663
224,Salher Fort,Nashik ,Historical & Cultural,Second-highest fort in Maharashtra,5,Oct-Feb,20.5662,73.8376
225,Saptashrungi Temple,Nashik ,Religious & Spiritual,Famous hilltop goddess temple,2,All Year,20.2018,73.8193
226,Nandur Madhyameshwar Bird Sanctuary,Nashik ,Wildlife & Adventure,Ramsar site with migratory birds,3,Nov-Feb,20.0753,74.0315
227,Vaitarna Lake,Palghar,Nature & Scenic,Lake with boating & camping sites,2,Oct-Mar,19.6868,73.3651
228,Jawhar Fort,Palghar,Historical & Cultural,Historic palace & fort area,2,Nov-Feb,19.9152,73.2296
229,Dabhosa Waterfall,Palghar,Nature & Scenic,Massive waterfall great for trekking,2,Jul-Sep,19.718,72.9947
230,Vikramgarh Lake,Palghar,Nature & Scenic,Scenic lake surrounded by hills,1,All Year,19.6234,73.0592
231,Govardhan Eco Village,Palghar,Retreat,Green spiritual retreat,3,All Year,19.5986,73.2963
232,Dahanu Beach,Palghar,Beaches & Waterfront,Quiet beach lined with chikoo farms,2,Nov-Feb,19.9816,72.7261
233,Kelwa Beach,Palghar,Beaches & Waterfront,Popular weekend beach,2,Nov-Feb,19.7199,72.7396
234,Pandharpur Vitthal Temple,Pandharpur,Religious & Spiritual,Important pilgrimage for Vithoba devotees,2,All Year,17.676641,75.329678
235,Baneshwar Temple,Pune,Religious & Spiritual,Ancient Shiva temple inside forest with stream,1.5,All year,18.2044,73.8383
236,Andharban Forest,Pune,Trekking & Adventure,Dark evergreen rainforest trek ending at Bhira dam,3,Jul-Sep,18.4473,73.3589
237,Chintamani Temple,Pune,Religious & Spiritual,Ashtavinayak temple representing peace and wisdom,1.5,All year,18.5295,74.0448
238,Mayureshwar Temple,Pune,Religious & Spiritual,Ashtavinayak Ganpati temple in Morgaon,1.5,All year,18.2748,74.456
239,Shaniwar Wada,Pune,Historical & Cultural,Historic Peshwa-era palace fort,2,Oct-Feb,18.51952,73.855428
240,Aga Khan Palace,Pune,Historical & Cultural,Freedom movement landmark and museum,1.5,Nov-Feb,18.552622,73.901817
241,Sinhagad Fort,Pune,Historical & Cultural,Popular trekking and fort visit near Pune,4,Nov-Feb,18.366278,73.755882
242,Dagdusheth Halwai Ganpati Temple,Pune,Religious & Spiritual,Famous Ganesh temple in city center,1,All Year,18.519902,73.856453
243,Raja Dinkar Kelkar Museum,Pune,Historical & Cultural,Museum of Indian artifacts and crafts,1.5,All Year,18.516623,73.856933
244,Pataleshwar Cave Temple,Pune,Nature & Scenic,Rock-cut ancient temple in the city,1,All Year,18.524502,73.847618
245,Parvati Hill,Pune,Nature & Scenic,Hill with temples and city panorama,1.5,Oct-Feb,18.501842,73.852629
246,Saras Baug,Pune,Nature & Scenic,Popular garden with Ganesh shrine,1,All Year,18.507748,73.853095
247,Pashan Lake,Pune,Nature & Scenic,Tranquil lake with walking trails,1,Oct-Feb,18.546704,73.786713
248,Rajiv Gandhi Zoological Park,Pune,Wildlife & Adventure,Well-maintained city zoo,2,Oct-Feb,18.457962,73.868368
249,Khadakwasla Dam,Pune,Reservoir,Popular picnic spot with reservoir views,1.5,Oct-Feb,18.447586,73.782166
250,Baner Hills Sunset Point,Pune,Nature & Scenic,Sunset viewpoint and light trek,1,Oct-Feb,18.56704,73.78738
251,Lavasa City,Pune,Recreation,Planned lakeside hill city,2.5,Oct-Mar,18.405607,73.50519
252,Torna Fort,Pune,Historical & Cultural,Shivaji-era fort and trek spot,4,Oct-Feb,18.278868,73.692471
253,Rajgad Fort,Pune,Historical & Cultural,Large fort complex with ruins,4,Oct-Feb,18.24687,73.677456
254,Shivneri Fort,Pune,Historical & Cultural,Birthplace of Chhatrapati Shivaji Maharaj,2.5,Oct-Feb,19.208814,73.862545
255,Tamhini Ghat,Pune,Nature & Scenic,Scenic ghat route popular in monsoon,2.5,Jun-Oct,18.516056,73.373209
256,Ashtavinayak Temples Circuit,Pune,Religious & Spiritual,Group of eight Ganesh temples circuit,10,All Year,18.516726,73.856255
257,Dehu (Sant Tukaram),Pune,Historical & Cultural,Birthplace of Saint Tukaram,1,All Year,18.71918,73.771599
258,Shivneri Viewpoint,Pune,Historical & Cultural,Viewpoint near Shivneri fort,0.75,Oct-Feb,19.209,73.863
259,Bhuleshwar Temple,Pune,Religious & Spiritual,Ancient temple with interesting history,1,All Year,18.422,73.914
260,Bhigwan Bird Sanctuary,Pune,Wildlife & Adventure,Seasonal flamingo sighting spot,2,Nov-Mar,18.86,74.386
261,Kondeshwar Temple,Pune,Religious & Spiritual,Shiva temple near scenic waterfalls,1.5,Monsoon,19.173,73.76
262,Devkund Waterfall,Pune,Nature & Scenic,Popular monsoon waterfall trek,3,Monsoon,19.191,73.66
263,Apte Lake,Pune,Nature & Scenic,Calm lake area for relaxation,1,Oct-Feb,18.59,73.774
264,ISKCON Temple,Pune,Religious & Spiritual,Large modern Krishna temple and cultural center,1.5,All Year,18.531,73.848
265,Shaniwar Wada Light Show,Pune,Attraction,Evening sound & light show (seasonal),1,Peak Season,18.5195,73.855
266,Jawahar Bal Bhavan,Pune,Urban & Modern Attractions,Children's recreation park and museum,1.5,All Year,18.52,73.852
267,Velhe Fort,Pune,Historical & Cultural,Small fort with rural trek,2,Oct-Feb,18.361,73.665
268,Pandav Leni,Pune,Nature & Scenic,Small local rock-cut caves and ruins,1,Oct-Mar,18.15,74.15
269,Sinhagad Battle Plains,Pune,Historical & Cultural,Historic battlefield area near Sinhagad,1.5,Oct-Feb,18.366,73.756
270,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Pune,Historical & Cultural,Rich collection of Maratha and Indian history,2,All Year,18.516726,73.856255
271,Pashan Lake,Pune,Nature & Scenic,Peaceful lake ideal for walking and birdwatching,1,All Year,18.548421,73.792485
272,Osho Garden,Pune,Nature & Scenic,Quiet meditation garden in Koregaon Park,1,All Year,18.536601,73.892578
273,Lal Mahal,Pune,Historical & Cultural,Reconstructed palace where Shivaji Maharaj spent childhood,1,All Year,18.520968,73.85706
274,Bund Garden,Pune,Nature & Scenic,Green park for picnics & boating,1,All Year,18.537993,73.883909
275,Katraj Snake Park,Pune,Wildlife & Adventure,Popular reptile park with snake species,1.5,All Year,18.458364,73.865198
276,Katraj Lake,Pune,Nature & Scenic,Scenic lake near Rajiv Gandhi Zoological Park,1,All Year,18.457021,73.865631
277,Naneghat,Pune,Wildlife & Adventure,Scenic mountain pass with ancient inscriptions,3,Oct-Mar,19.327,73.858
278,Junnar Caves,Pune,Nature & Scenic,Ancient Buddhist caves,2,All Year,19.2033,73.8636
279,Lenyadri Caves,Pune,Nature & Scenic,Pilgrimage caves from 1st-3rd century AD,2,All Year,19.1878,73.8098
280,Shivneri Fort,Pune,Historical & Cultural,Birthplace of Shivaji Maharaj,3,Oct-Mar,19.204585,73.854056
281,Ballaleshwar Temple,Pune,Religious & Spiritual,One of the Ashtavinayak temples,1,All Year,18.75968,73.47209
282,Wadgaon Maval Lake,Pune,Nature & Scenic,Popular lakeside picnic spot,2,All Year,18.71983,73.60832
283,Blades of Glory Museum,Pune,Historical & Cultural,Cricket museum with rare memorabilia,1.5,All Year,18.51042,73.89323
284,Rajiv Gandhi Zoological Park,Pune,Wildlife & Adventure,Large zoo with snake park,3,Nov-Feb,18.45761,73.86858
285,Okayama Friendship Garden,Pune,Nature & Scenic,Japanese-themed landscape garden,1.5,Nov-Feb,18.48942,73.81921
286,Pashan Lake,Pune,Nature & Scenic,Peaceful lake great for bird watching,1,All Year,18.54608,73.79246
287,Chatushrungi Mata Temple,Pune,Religious & Spiritual,Famous hilltop temple with a great view,1,All Year,18.53753,73.82958
288,Kasarsai Dam,Pune,Nature & Scenic,Beautiful dam with boating,2,All Year,18.63219,73.67791
289,Kanifnath Temple,Pune,Religious & Spiritual,Hilltop temple requiring a short trek,2,All Year,18.42232,74.04031
290,Ranjangoan Mahaganpati,Pune,Religious & Spiritual,Major Ashtavinayak Ganpati temple,1,All Year,18.65051,74.30149
291,Bhimashankar Temple,Pune,Religious & Spiritual,Jyotirlinga temple in wildlife sanctuary,3,Oct-Feb,19.0738,73.5362
292,Lenyadri Caves,Pune,Historical & Cultural,Ashtavinayak temple carved into mountain,2,Oct-Feb,19.1967,73.8899
293,Ozar Ganpati,Pune,Religious & Spiritual,Ashtavinayak pilgrimage site,1,All Year,19.2666,73.9959
294,Bhimthadi Jatra,Pune,Festival,Annual cultural fair in December,3,Dec,18.4488,74.0136
295,Raigad Fort,Raigad,Historical & Cultural,Historic Maratha capital fort,4,Oct-Feb,18.234418,73.442586
296,Amruteshwar Temple,Raigad,Religious & Spiritual,Ancient temple with local architecture,1,Oct-Mar,18.12,73.3
297,Tamhini Ghat,Raigad,Nature & Scenic,Scenic mountain road with waterfalls,2,Jun-Sep,18.4572,73.4567
298,Raigad Fort,Raigad,Historical & Cultural,Capital fort of Chhatrapati Shivaji Maharaj,4,Oct-Mar,18.2348,73.4393
299,Kolad River Rafting,Raigad,Wildlife & Adventure,White water rafting spot,3,Oct-Mar,18.4198,73.216
300,Ganpatipule Beach,Ratnagiri ,Beaches & Waterfront,Sandy beach with temple nearby,2.5,Nov-Feb,17.154371,73.269798
301,Ratnagiri Lighthouse,Ratnagiri ,Urban & Modern Attractions,Coastal lighthouse viewpoint,0.75,Nov-Feb,16.992378,73.310628
302,Phansad Wildlife Sanctuary,Ratnagiri ,Wildlife & Adventure,Coastal forest sanctuary,3,Nov-Feb,17.052,73.15
303,Narayanpur Beach,Ratnagiri ,Beaches & Waterfront,Quiet sandy stretch,1.5,Nov-Feb,16.96,73.27
304,Ratnagiri Marine Museum,Ratnagiri ,Historical & Cultural,Marine life museum by the beach,1,All Year,16.9919,73.3102
305,Ganpatipule Beach,Ratnagiri ,Beaches & Waterfront,Famous white sand beach & temple,2,Oct-Mar,17.1489,73.264
306,Thibaw Palace,Ratnagiri ,Historical & Cultural,Exile palace of Burmese King Thibaw,1,All Year,16.9962,73.3068
307,Harihareshwar Beach,Ratnagiri ,Beaches & Waterfront,Serene beach with ancient temple,2,Oct-Mar,17.9912,73.0152
308,Diveagar Beach,Ratnagiri ,Beaches & Waterfront,Peaceful long sandy beach,2,Oct-Mar,18.1439,72.9833
309,Shrivardhan Beach,Ratnagiri ,Beaches & Waterfront,Clean beach with coastal vibes,2,Oct-Mar,18.0321,73.0155
310,Marleshwar Temple,Ratnagiri ,Religious & Spiritual,Temple inside a mountain cave,1,All Year,17.2048,73.6238
311,Rasalgad Fort,Ratnagiri ,Historical & Cultural,Small fort with views of Sahyadri Valley,3,Nov-Feb,17.7709,73.5621
312,Jaigad Fort,Ratnagiri ,Historical & Cultural,Coastal fort overlooking Arabian Sea,2,Oct-Mar,17.2925,73.1929
313,Thiba Palace,Ratnagiri ,Historical & Cultural,Historic palace of exiled Burmese king,1.5,All Year,16.9917,73.3128
314,Ganpatipule Temple,Ratnagiri ,Religious & Spiritual,Famous seafront Ganesh temple,1,All Year,17.1498,73.2607
315,Ganpatipule Beach,Ratnagiri ,Beaches & Waterfront,Beautiful beach next to the temple,2,Nov-Feb,17.1491,73.2649
316,Arey Ware Beach,Ratnagiri ,Beaches & Waterfront,Scenic twin beaches with clean sand,2,Nov-Feb,17.0999,73.2454
317,Prachin Konkan Museum,Ratnagiri ,Historical & Cultural,Cultural museum depicting Konkan life,1,All Year,17.1449,73.2659
318,Marleshwar Temple,Ratnagiri ,Religious & Spiritual,Cave temple with surrounding waterfalls,2,Aug-Feb,17.3208,73.7055
319,Parshuram Temple,Ratnagiri ,Religious & Spiritual,Ancient temple dedicated to Parshuram,1,All Year,17.5594,73.5099
320,Guhagar Beach,Ratnagiri ,Beaches & Waterfront,Quiet clean beach perfect for relaxation,2,Nov-Feb,17.4723,73.1904
321,Sagareshwar Wildlife Sanctuary,Sangli,Wildlife & Adventure,Artificial forest with deer & peacocks,2,Nov-Feb,17.1065,74.6092
322,Thoseghar Waterfalls,Satara,Nature & Scenic,Series of tall  deep valley waterfalls,2,Jul-Sep,17.6822,73.8515
323,Vajrai Waterfall,Satara,Nature & Scenic,India's tallest tiered waterfall,3,Jul-Sep,17.7016,73.8332
324,Mahabaleshwar Hill Station,Satara,Nature & Scenic,Famous hill station with viewpoints,3.5,Oct-Mar,17.924606,73.658579
325,Pratapgad Fort,Satara,Historical & Cultural,Famous fort near Mahabaleshwar,3,Oct-Feb,17.935532,73.578607
326,Koyna Wildlife Sanctuary,Satara,Wildlife & Adventure,Forest reserve with trekking,4,Nov-May,17.63569,73.747595
327,Satara,Satara,Nature & Scenic,Seasonal wildflower plateau (Historical & Cultural candidate),3,Aug-Oct,17.704207,73.799501
328,Ajinkyatara Fort,Satara,Historical & Cultural,Historic fort with city views,2,Oct-Feb,17.676616,73.993286
329,Kaas Plateau Viewpoint,Satara,Nature & Scenic,Entry point for Kaas plateau,1.5,Aug-Oct,17.7039,73.7995
330,Pratapgad Temple,Satara,Religious & Spiritual,Temple near Pratapgad fort,1,Oct-Feb,17.936,73.579
331,Wai Lake (Dhom),Satara,Nature & Scenic,Reservoir and water sports ,2,Oct-Mar,17.99,73.876
332,Wilson Dam (Koyna),Satara,Nature & Scenic,Hydroelectric dam and scenic viewpoint,1.5,Oct-Mar,17.321,73.822
333,Shirdi Sai Baba Temple,Shirdi,Religious & Spiritual,Major pilgrimage center for Sai Baba devotees,3,All Year,19.76761,74.477335
334,Narayan Maharaj Temple,Shirdi,Religious & Spiritual,Local shrine near Shirdi,0.75,All Year,19.767,74.478
335,Shirdi Sai Baba Samadhi Mandir,Shirdi,Religious & Spiritual,Famous temple of Sai Baba,2,All Year,19.766944,74.477778
336,Lendi Baug,Shirdi,Nature & Scenic,Pilgrimage garden where Sai Baba meditated,1,All Year,19.767212,74.477997
337,Dwarkamai,Shirdi,Religious & Spiritual,Historic mosque where Sai Baba lived,1,All Year,19.764203,74.47688
338,Shani Mandir,Shirdi,Religious & Spiritual,Famous Shani temple near Shirdi,1,All Year,19.7564,74.4836
339,Prasadalaya,Shirdi,Food,Large community dining hall,1,All Year,19.76472,74.47861
340,Velas Beach,Sindhudurg ,Beaches & Waterfront,Turtle nesting site (seasonal),3,Dec-Mar,17.9342,73.077157
341,Shrivardhan Beach,Sindhudurg ,Beaches & Waterfront,Scenic Konkan coastline beach,2,Nov-Feb,18.042708,73.015049
342,Murud-Janjira Fort,Sindhudurg ,Historical & Cultural,Sea fort famous for its strong walls,2,Nov-Feb,18.301121,72.964303
343,Tarkarli Beach,Sindhudurg ,Beaches & Waterfront,White sand and scuba diving,3.5,Nov-Feb,16.039839,73.489505
344,Sindhudurg Fort,Sindhudurg ,Historical & Cultural,Island fort built by Marathas,3,Nov-Feb,16.051967,73.462141
345,Revdanda Fort,Sindhudurg ,Historical & Cultural,Coastal fort and historic remains,1.5,Oct-Mar,18.5625,72.885
346,Alibaug Beach,Sindhudurg ,Beaches & Waterfront,Popular weekend beach from Mumbai,2,Oct-Mar,18.644,72.872
347,Sindhudurg National Park,Sindhudurg ,Beaches & Waterfront,Marine biodiversity and protected area,3,Nov-Feb,16.04,73.5
348,Murud Beach,Sindhudurg ,Beaches & Waterfront,Calm local beach and fishing village,1.5,Oct-Mar,18.3,72.97
349,Janjira Light House,Sindhudurg ,Urban & Modern Attractions,Coastal lighthouse viewpoint,0.5,Oct-Mar,18.308,72.962
350,Revdanda Beach,Sindhudurg ,Beaches & Waterfront,Quiet beach with black sand,2,Oct-Mar,18.553,72.919
351,Kihim Beach,Sindhudurg ,Beaches & Waterfront,Popular beach known for water sports,2,Oct-Mar,18.6658,72.8736
352,Murud Janjira Fort,Sindhudurg ,Historical & Cultural,Sea fort protected by water,3,Oct-Mar,18.2986,72.9653
353,Kanakeshwar Forest,Sindhudurg ,Nature & Scenic,Forest trail with temple at top,2,Oct-Mar,18.6502,72.8986
354,Nagaon Beach,Sindhudurg ,Beaches & Waterfront,Sandy beach with water sports,2,Oct-Mar,18.5969,72.8566
355,Revdanda Fort,Sindhudurg ,Historical & Cultural,Ruins of Portuguese fort by the beach,2,Nov-Feb,18.5536,72.9313
356,Korlai Fort,Sindhudurg ,Historical & Cultural,Seaside fort offering splendid views,2,Nov-Feb,18.5131,72.9119
357,Kihim Beach,Sindhudurg ,Beaches & Waterfront,Clean beach with water sports options,2,Nov-Feb,18.6481,72.8726
358,Mandwa Beach,Sindhudurg ,Beaches & Waterfront,Beach near ferry terminal with activities,2,Nov-Feb,18.8119,72.9214
359,Nagaon Beach,Sindhudurg ,Beaches & Waterfront,Popular beach for families & water sports,2,Nov-Feb,18.5688,72.8927
360,Kashid Beach,Sindhudurg ,Beaches & Waterfront,White sand beach with clear water,2,Nov-Feb,18.4378,72.9071
361,Murud Janjira Fort,Sindhudurg ,Historical & Cultural,Sea fort accessible by boat,3,Oct-Mar,18.2962,72.9659
362,Phansad Wildlife Sanctuary,Sindhudurg ,Wildlife & Adventure,Dense forest ideal for wildlife lovers,3,Nov-Feb,18.4272,72.963
363,Amboli Waterfall,Sindhudurg ,Nature & Scenic,Monsoon waterfall in hill station,1.5,Jul-Sep,15.9568,74.0032
364,Hiranyakeshi Temple,Sindhudurg ,Religious & Spiritual,Temple near river origin,1,All Year,15.958,74.0364
365,Madyanadgi Falls,Sindhudurg ,Nature & Scenic,Hidden monsoon waterfall,1.5,Jul-Sep,15.8317,73.9176
366,Tarkarli Beach,Sindhudurg ,Beaches & Waterfront,Crystal clear beach known for scuba diving,3,Nov-Feb,16.0331,73.4894
367,Devbag Beach,Sindhudurg ,Beaches & Waterfront,Pristine beach meeting Karli river,2,Nov-Feb,16.0158,73.4883
368,Malvan Fort,Sindhudurg ,Historical & Cultural,Sea fort built by Shivaji Maharaj,2,Oct-Feb,16.0555,73.4674
369,Vengurla Lighthouse,Sindhudurg ,Nature & Scenic,Scenic lighthouse offering sea views,1,Nov-Feb,15.8634,73.6332
370,Devgad Beach,Sindhudurg ,Beaches & Waterfront,Beautiful beach with soft sand,2,Nov-Feb,16.3848,73.399
371,Redi Ganpati Temple,Sindhudurg ,Religious & Spiritual,Popular cliffside Ganpati temple,1,All Year,15.7451,73.6428
372,Shiroda Beach,Sindhudurg ,Beaches & Waterfront,Serene beach with clear waters,2,Nov-Feb,15.7238,73.6773
373,Amboli Ghat,Sindhudurg ,Nature & Scenic,Misty ghat road with viewpoints,1.5,Jul-Sep,15.9797,74.0198
